PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id,frame_hash
760237,00 02 09.4,-27 04 07,G,0,0.41,0.09,84.0,0,-820137441668037555,-293027913631627016
95421,00 02 09.5,-43 58 55,G,SO-a,0.54,0.0,0.0,0,-1382594907780432664,4209091506856029321
473862,00 02 09.5,-49 43 38,G,0,0.63,0.48,65.0,0,56668685143716637,6334223367602985128
1935131,00 02 09.6,+31 10 39,G,0,0.43,0.06,6.0,0,-1943361067679209393,-7559982136134785434
1098924,00 02 09.7,-02 11 59,G,0,0.71,0.41,34.0,0,7854439400546355357,-972016655085834398
884621,00 02 09.8,-17 21 26,G,0,0.37,0.09,166.0,0,2728380863042963145,2761818213374043420
2042863,00 02 09.8,+34 02 12,G,0,0.48,0.09,141.0,0,-783555286844331009,-6834953561025112826
662614,00 02 09.8,-34 25 01,G,0,0.39,0.12,106.0,0,8008929246799209195,6728580162928804559
2796241,00 02 09.9,+57 39 16,G,0,0.28,0.08,0.0,ZOAG116.36-4.59,8884697224306142540,177785273348983879
791137,00 02 10.0,-24 19 40,G,0,0.55,0.22,136.0,0,2396394081900784979,2498816353313567642
91842,00 02 10.1,-05 30 40,G,Sc,0.85,0.68,5.0,FGC2569,-7400361285735917962,6451068366322864523
736014,00 02 10.2,-28 54 01,G,0,0.57,0.31,126.0,0,3840681890550953123,8611033686158865934
799751,00 02 10.2,-23 32 37,G,0,0.36,0.03,0.0,0,-6430378237323289717,6723967361310333885
91841,00 02 10.2,-07 01 43,G,Sd,0.78,0.72,53.0,FGC2568,4530506742871738119,5841237947698812227
551958,00 02 10.2,-43 11 20,G,0,0.38,0.06,68.0,0,-2416018820051835637,4874801271403460056
1025872,00 02 10.2,-06 59 53,G,0,0.41,0.25,50.0,0,4450381651735248877,5958346987385948782
