toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,frame_hash
1287.01,308.747621,63.474938,92.7225,308.747621,63.474938,-4526802457456413369
1288.01,313.167029,65.608783,114.865,313.167029,65.608783,2367464969001361839
1289.01,307.210941,33.413959,89.21544,307.210941,33.413959,-6368123536208420997
1240.01,286.110305,43.680961,1086.24,286.110305,43.680961,-6560942338974984460
1241.01,289.73973,44.647347,546.522,289.73973,44.647347,-7380567018278503063
1242.01,248.553295,60.195927,110.015,248.553295,60.195927,325072968340029140
1243.01,135.732641,71.636416,43.1865,135.732641,71.636416,2032142833993102204
1244.01,256.279559,69.519093,102.551,256.279559,69.519093,3683153268818269927
1245.01,283.53553,69.633534,80.0982,283.53553,69.633534,7936999005619828309
1246.01,251.11587,70.429992,169.422,251.11587,70.429992,-8892930207331725544
1246.02,251.11587,70.429992,169.422,251.11587,70.429992,4186387942919456398
1246.03,251.11587,70.429992,169.422,251.11587,70.429992,1782264804202814970
1246.04,251.11587,70.429992,169.422,251.11587,70.429992,-905196281580547620
1247.01,227.867864,71.841296,73.8713,227.867864,71.841296,-453721424183141062
1248.01,259.023592,63.105607,168.735,259.023592,63.105607,1025921711823518840
1249.01,200.561576,66.308533,139.49,200.561576,66.308533,6923448469227339249
125.01,23.593425,-66.676349,111.059,23.593425,-66.676349,-742764159679612769
125.02,23.593425,-66.676349,111.059,23.593425,-66.676349,-8823421580181792216
125.03,23.593425,-66.676349,111.059,23.593425,-66.676349,-922715096304467054
1305.01,282.474539,55.26639,875.061,282.474539,55.26639,-3160324969246358478
1306.01,277.476856,61.049501,364.477,277.476856,61.049501,6008441593866782636
1307.01,283.637489,59.763193,,283.637489,59.763193,-1941051316043094835
1308.01,306.425841,53.561615,543.011,306.425841,53.561615,4571723785906519484
1309.01,292.50517,54.108503,686.879,292.50517,54.108503,6346973113355755751
131.01,353.828713,-64.561917,,353.828713,-64.561917,-152910718743977973
1310.01,300.83864,53.29562,247.975,300.83864,53.29562,2209382189354060017
1311.01,294.722734,41.565154,556.813,294.722734,41.565154,-5343232588166441550
1312.01,301.562631,52.164181,316.176,301.562631,52.164181,-8587458581466635558
