toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,framework_id
1248.01,259.023592,63.105607,168.735,259.023592,63.105607,-8114792741323699786
1249.01,200.561576,66.308533,139.49,200.561576,66.308533,-929719974478696318
125.01,23.593425,-66.676349,111.059,23.593425,-66.676349,-6433465586613046375
125.02,23.593425,-66.676349,111.059,23.593425,-66.676349,-5537210185081035329
125.03,23.593425,-66.676349,111.059,23.593425,-66.676349,-3337346105898829814
1305.01,282.474539,55.26639,875.061,282.474539,55.26639,-4157237544325926598
1306.01,277.476856,61.049501,364.477,277.476856,61.049501,6119233520172022984
1307.01,283.637489,59.763193,0.0,283.637489,59.763193,-4678491550640505837
1308.01,306.425841,53.561615,543.011,306.425841,53.561615,6468132369469419693
1309.01,292.50517,54.108503,686.879,292.50517,54.108503,7448708287898534334
131.01,353.828713,-64.561917,0.0,353.828713,-64.561917,-4722732844451265118
1310.01,300.83864,53.29562,247.975,300.83864,53.29562,-4353333316365578910
1311.01,294.722734,41.565154,556.813,294.722734,41.565154,1593241509542667707
