PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
820727,00 01 09.2,-21 59 47,G,0,0.58,0.16,27.0,0,5431061802153191961
446650,00 01 09.2,-52 15 15,G,0,0.54,0.19,84.0,0,7754271366948582683
1183580,00 01 09.2,+01 04 09,G,0,0.46,0.07,49.0,0,-2512338356173337450
845867,00 01 09.3,-20 08 08,G,0,0.54,0.05,72.0,0,2472904783644678170
1246645,00 01 09.4,+03 10 05,G,0,0.54,0.26,101.0,0,-5470872512929866572
2435389,00 01 09.4,+53 14 10,G,0,0.55,0.1,33.0,0,9036246998849788442
143167,00 01 09.4,-38 44 07,G,0,0.62,0.23,60.0,0,-8628127088059824798
1040025,00 01 09.5,-05 49 09,G,0,0.43,0.12,108.0,0,-2444772343670368703
1537798,00 01 09.5,+17 38 36,G,0,0.49,0.15,101.0,NPM1G+17.0769,114848658815591054
124805,00 01 09.5,-37 59 28,G,0,0.48,0.11,133.0,LCRSB235835.7-381611,-4446832807229665606
636274,00 01 09.5,-36 28 47,G,0,0.35,0.13,174.0,0,5620541389634695913
400481,00 01 09.7,-56 23 44,G,0,0.32,0.05,175.0,0,-3155351994861523751
601651,00 01 09.7,-39 07 04,G,0,0.42,0.24,80.0,0,7600027488700561675
976886,00 01 09.7,-10 32 35,G,0,0.38,0.05,0.0,0,-5249999095362376025
825711,00 01 09.8,-21 38 11,G,0,0.45,0.23,108.0,0,-7022195974035936138
1841891,00 01 09.8,+28 38 55,G,0,0.46,0.12,171.0,0,2809632257855110749
905287,00 01 09.9,-15 52 46,G,0,0.47,0.16,65.0,0,368206306816975521
1022153,00 01 09.9,-07 14 43,G,0,0.38,0.13,113.0,0,-7932220381615982348
777142,00 01 09.9,-25 35 54,G,0,0.41,0.06,128.0,0,5377105026548363274
843601,00 01 09.9,-20 18 14,G,0,0.33,0.08,83.0,0,5607019974455098496
410972,00 01 10.0,-55 16 36,G,0,0.31,0.05,155.0,0,7192879139406967848
602465,00 01 10.0,-39 02 27,G,0,0.45,0.27,164.0,0,-7291784930773962350
904415,00 01 10.0,-15 56 47,G,0,0.61,0.24,57.0,0,4263428060050597712
87,00 01 10.1,-50 35 05,G,SO-a,0.71,0.44,0.0,DRCG39-41,1034969654595318730
1995081,00 01 10.1,+32 23 56,G,0,0.64,0.19,8.0,0,-2466496655914870857
942278,00 01 10.1,-13 08 25,G,0,0.55,0.39,86.0,0,8806331386096920223
547519,00 01 10.2,-43 32 38,G,0,0.34,0.09,96.0,0,880721429542955458
124806,00 01 10.3,-39 02 45,G,0,0.59,0.24,171.0,LCRSB235836.5-391927,-5431106950612183145
818299,00 01 10.3,-22 09 52,G,0,0.7,0.32,142.0,0,5085412291076588064
508891,00 01 10.4,-46 55 45,G,0,0.53,0.48,155.0,0,-2771566997405789629
937427,00 01 10.4,-13 28 52,G,0,0.63,0.19,7.0,NPM1G-13.0664,-4149542922974047422
88,00 01 10.7,-52 12 17,G,0,0.72,0.12,102.0,ESO-LV1930101,4258311508001587520
889228,00 01 10.7,-17 04 16,G,0,0.44,0.1,139.0,0,3880018683767420947
133640,00 01 10.7,-27 01 12,G,E,0.76,0.16,154.0,DUKST537-12,38902394708074669
398853,00 01 10.8,-56 35 51,G,0,0.41,0.06,126.0,0,-2482320074989739210
862159,00 01 10.9,-18 54 53,G,0,0.32,0.09,100.0,0,7265532317555344861
1833145,00 01 11.1,+28 20 37,G,0,0.52,0.28,93.0,0,2842184380886522114
2567255,00 01 11.1,+57 31 35,G,0,0.43,0.28,96.0,0,-5366844058142099686
582446,00 01 11.2,-40 47 22,G,0,0.58,0.34,119.0,0,-5257992506716806409
657962,00 01 11.2,-34 45 26,G,0,0.35,0.13,100.0,0,3937248580168110569
937508,00 01 11.3,-13 28 27,G,0,0.45,0.15,44.0,0,-7275188916124204494
263727,00 01 11.3,-72 21 37,G,0,0.56,0.15,126.0,0,-747051882211523741
199359,00 01 11.3,-35 13 15,G,0,0.0,0.0,0.0,DUKST349-121,3446465918294777660
1445410,00 01 11.3,+13 57 49,G,0,0.39,0.12,64.0,0,3376787290385834670
1528835,00 01 11.3,+17 16 26,G,0,0.38,0.08,2.0,0,4167268414248930582
627445,00 01 11.4,-37 09 56,G,0,0.43,0.22,174.0,0,-5186248974445380356
2085251,00 01 11.4,+36 41 38,G,0,0.61,0.22,122.0,0,-8049893264636957101
143169,00 01 11.6,-38 45 07,G,0,0.68,0.51,103.0,0,2072080030018515680
2118419,00 01 11.8,+38 07 21,G,0,0.41,0.08,31.0,0,-6042114340273327287
604663,00 01 11.8,-38 50 12,G,0,0.34,0.08,57.0,0,-2885149332468328672
1485723,00 01 11.9,+15 28 42,G,0,0.46,0.21,131.0,NPM1G+15.0635,5486153175448628955
893488,00 01 11.9,-16 47 27,G,0,0.48,0.14,54.0,0,-7974920964288031495
660871,00 01 11.9,-34 32 29,G,0,0.42,0.18,76.0,0,-2599115046030921024
740795,00 01 12.0,-28 30 48,G,0,0.52,0.09,162.0,0,6763548791497893039
2386343,00 01 12.0,+50 59 15,G,0,0.67,0.27,104.0,NPM1G+50.0447,62067740715478426
1830843,00 01 12.0,+28 15 50,G,0,0.44,0.16,106.0,0,-1674268203741784540
417820,00 01 12.2,-54 36 11,G,0,0.57,0.17,89.0,0,-3917008851264410567
107484,00 01 12.2,-41 36 52,G,0,0.49,0.15,160.0,LCRSB235838.5-415335,-8230047482010824569
1000589,00 01 12.3,-08 40 39,G,0,0.53,0.07,161.0,0,-5020362651885604986
520369,00 01 12.3,-45 59 16,G,0,0.47,0.17,84.0,0,5944111853022253354
100704,00 01 12.3,-49 30 29,G,0,0.56,0.11,179.0,0,-8557979136798238220
773802,00 01 12.3,-25 54 11,G,0,0.45,0.14,10.0,0,879936988622041104
124807,00 01 12.3,-39 13 55,G,0,0.51,0.08,81.0,LCRSB235838.6-393036,-9061809915640392081
1011712,00 01 12.4,-07 52 22,G,0,0.36,0.09,36.0,0,1990482580174375066
107743,00 01 12.4,-44 44 12,G,0,0.43,0.17,109.0,LCRSB235838.5-450055,-3988504048072822006
1912580,00 01 12.5,+30 39 33,G,0,0.54,0.28,0.0,0,-560033431547870489
735667,00 01 12.5,-28 55 44,G,0,0.4,0.19,100.0,0,-4175674103591116582
1052227,00 01 12.6,-04 52 54,G,0,0.41,0.19,59.0,0,-5564362742102663934
637146,00 01 12.6,-36 24 33,G,0,0.41,0.04,0.0,0,-2699197909835602586
820602,00 01 13.0,-22 00 18,G,0,0.34,0.12,122.0,0,7985164580436625392
1834192,00 01 13.0,+28 22 58,G,0,0.5,0.1,36.0,0,-7745522757388060683
906676,00 01 13.2,-15 46 26,G,0,0.46,0.06,100.0,0,-2655943916945108366
1063221,00 01 13.3,-04 04 30,G,0,0.5,0.06,137.0,0,7374253223473322225
97569,00 01 13.3,-00 59 37,G,0,0.0,0.0,0.0,IRAS23586-0116450055,2987980625651966195
956743,00 01 13.4,-12 10 05,G,0,0.79,0.56,4.0,0,5587950255857219859
1064995,00 01 13.4,-03 56 24,G,0,0.41,0.09,166.0,0,2407724105713476531
89,00 01 13.4,+13 08 37,GM,SBbc,0.87,0.39,68.0,MCG2-01-009           KUG2358+128A          HCG100C,976570285264166682
95115,00 01 13.5,-43 14 28,G,SO-a,0.66,0.4,91.0,0,-8296509188992340098
90,00 01 13.6,-44 00 43,G,Sb,1.04,0.37,93.0,ESO241-11             ESO-LV2410110,6609319425425194142
132703,00 01 13.7,-27 36 19,G,Sc,0.82,0.13,120.0,0,4360791244009964963
755276,00 01 13.7,-27 24 55,G,0,0.61,0.32,168.0,0,-1775699275027034093
411953,00 01 13.7,-55 10 36,G,0,0.61,0.2,10.0,0,218522400319447014
1625347,00 01 13.7,+20 22 20,G,0,0.61,0.07,172.0,0,6108419500600912205
514576,00 01 13.8,-46 28 29,G,0,0.61,0.42,104.0,0,-967309212867028314
551434,00 01 13.8,-43 13 28,G,0,0.54,0.39,90.0,0,3966691519827453301
514453,00 01 13.9,-46 29 01,G,0,0.37,0.08,148.0,0,915702164104763376
3091534,00 01 13.9,+09 22 44,G,0,0.0,0.0,0.0,NPM1G+09.0632,-2531211488054197859
605597,00 01 14.0,-38 45 11,G,0,0.5,0.15,0.0,0,660919523640724655
78,00 01 14.0,+13 09 43,G,Sd,0.52,0.29,0.0,MCG2-01-008,5509901433441358594
580473,00 01 14.0,-40 58 06,G,0,0.35,0.04,0.0,0,-5692202591790553696
215026,00 01 14.1,+34 40 59,G,0,0.3,0.25,0.0,0,9060751054432950382
91,00 01 14.1,+34 40 33,G,SBab,1.01,0.17,38.0,UGC12904              MCG6-01-005           CGCG518-7             CGCG517-12,3787850219740097791
238164,00 01 14.2,-76 57 57,G,0,0.72,0.42,126.0,0,4780411393929686060
405429,00 01 14.2,-55 51 12,G,0,0.53,0.04,0.0,0,-1577291831520922460
606184,00 01 14.2,-38 41 48,G,0,0.59,0.38,23.0,0,-7411068630296306418
550345,00 01 14.3,-43 18 40,G,0,0.38,0.18,36.0,0,4116189308550051335
632275,00 01 14.3,-36 48 53,G,0,0.59,0.48,69.0,0,2401861816331519824
1296986,00 01 14.3,+06 14 25,G,0,0.59,0.16,121.0,0,3074147260654099582
73206,00 01 14.5,+16 10 44,G,0,0.59,0.27,97.0,KUG2358+159,2886391576215245499
1513026,00 01 14.5,+16 37 14,G,0,0.46,0.07,100.0,0,3881033052996780298
394637,00 01 14.5,-57 02 26,G,0,0.67,0.55,54.0,0,-9111890503113484082
2794842,00 01 14.5,-39 36 29,G,0,0.0,0.0,0.0,0,-5766121804593974727
198784,00 01 14.6,-29 10 40,G,0,0.0,0.0,0.0,DUKST409-55,-4129348836440009638
495308,00 01 14.7,-47 48 50,G,0,0.42,0.18,55.0,0,5514437292143543923
801435,00 01 14.7,-23 23 20,G,0,0.73,0.68,6.0,0,-1392001138968181177
238198,00 01 14.9,-76 57 24,G,0,0.46,0.22,80.0,0,-9053866172628143321
1697121,00 01 14.9,+23 58 11,G,0,0.47,0.11,104.0,0,3640965627476504357
1956841,00 01 14.9,+31 38 12,G,0,0.64,0.14,114.0,0,-5555141531195075893
1391812,00 01 14.9,+11 18 55,G,0,0.36,0.15,53.0,0,1508921903572266809
124808,00 01 14.9,-39 09 37,G,0,0.41,0.11,1.0,LCRSB235841.2-392619,-1138932533607878923
