pl_name,hostname,pl_orbper,frame_hash
Kepler-257 c,Kepler-257,6.581477136,5492949980882603223
Kepler-178 c,Kepler-178,20.55280311,-5779183685594582613
Kepler-1870 b,Kepler-1870,3.60694592,2725163287127502996
Kepler-1569 b,Kepler-1569,5.79180156,2151439664274629160
Kepler-400 b,Kepler-400,9.02436094,-4799678338609360948
Kepler-787 b,Kepler-787,0.928310498,-4675465638336462396
Kepler-1136 b,Kepler-1136,2.361718,-8188201604440342187
HD 154391 b,HD 154391,5163.0,-205927100030677476
Kepler-340 c,Kepler-340,22.824669,6153726902894864616
Kepler-1030 b,Kepler-1030,19.32952416,-4712906589784584380
Kepler-1609 b,Kepler-1609,114.34219,-920318283067486459
Kepler-229 c,Kepler-229,16.068638,4057134746690214506
Kepler-33 c,Kepler-33,13.17562,-545083280715141891
Kepler-1266 b,Kepler-1266,28.474748,-1888651442030512179
Kepler-1118 b,Kepler-1118,38.6715843,-2770085092221003995
Kepler-1254 b,Kepler-1254,9.99113313,9117023185702944099
51 Peg b,51 Peg,4.2307969,7917262293751244104
Kepler-1771 b,Kepler-1771,88.6440015,-5015723387079879230
Kepler-1820 b,Kepler-1820,31.032699,-6376613055024488804
Kepler-1637 b,Kepler-1637,6.10960324,-4932630045529832945
Kepler-1397 b,Kepler-1397,47.4497134,1710533933637372099
Kepler-1948 b,Kepler-1948,15.5714121,7016938199401124465
Kepler-879 b,Kepler-879,33.3855938,8806912256907749472
Kepler-815 b,Kepler-815,,-4244152326601955556
Kepler-161 b,Kepler-161,4.9213639,3192623167209919935
Kepler-484 b,Kepler-484,10.0455669168,5414188366094136344
Kepler-1389 b,Kepler-1389,99.2530951,7340961021698737693
HD 92788 b,HD 92788,326.7,-4692586919693222161
Kepler-130 d,Kepler-130,87.5174361,-3751935145213730450
Kepler-1463 b,Kepler-1463,25.15864,7540708418715047880
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,,8324251020317763438
Kepler-1563 b,Kepler-1563,3.4327371,1374342710596036758
Kepler-778 b,Kepler-778,3.75574426,4594740409699099310
Kepler-377 b,Kepler-377,12.50948,6805706238772382962
Kepler-475 b,Kepler-475,3.105508189,8855114417779703702
HAT-P-37 b,HAT-P-37,2.79744256,-7770202498835461584
K2-185 b,K2-185,10.616646,3771163558238940112
HATS-71 b,HATS-71,3.79551778381,-7238143838771645918
Kepler-487 c,Kepler-487,38.6519976,3187161154306741058
Kepler-1032 b,Kepler-1032,3.290114076,2066246574330777428
Kepler-327 d,Kepler-327,13.9695295096,-7067401066879886896
HD 75289 b,HD 75289,3.50927,-4590459022464130149
Kepler-323 c,Kepler-323,3.553829671,-5396378951496662554
Kepler-1352 b,Kepler-1352,1.877872,-4036306381840794728
Kepler-515 b,Kepler-515,19.96371318,5002436864549299316
Kepler-357 c,Kepler-357,16.85837,1212943966572477513
Kepler-1178 b,Kepler-1178,31.80634,-6566318150171449258
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,,5872892909080566646
Kepler-1795 b,Kepler-1795,13.3602644,-8146939066129542875
Kepler-325 c,Kepler-325,12.76224947,-4946906111090939749
Kepler-775 b,Kepler-775,0.974868926,-7345137765788972608
EPIC 212424622 b,EPIC 212424622,18.0983,9011934286616047484
Kepler-341 c,Kepler-341,8.01041,8445202878437335271
Kepler-67 b,Kepler-67,15.72585941,-8993313653032113833
K2-53 b,K2-53,12.2091165,-9131454561761466992
Kepler-106 e,Kepler-106,43.8444958789,1518812590282703203
GJ 1061 d,GJ 1061,13.031,-768121742861479399
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,,-2784192565714700558
BD-13 2130 b,BD-13 2130,714.29999,3040630728985028507
eps CrB b,eps CrB,417.9,3824995778158343102
Kepler-1202 b,Kepler-1202,28.6851324,5257798972237927915
Kepler-997 b,Kepler-997,2.7072805276,8552863352703569512
Kepler-84 e,Kepler-84,27.4345883,-1547716143697197754
Kepler-29 c,Kepler-29,13.2884,2622168074990821521
Kepler-1407 b,Kepler-1407,20.0711504,3419656609105276877
Kepler-924 b,Kepler-924,61.0370400526,4832236967757375356
HAT-P-11 b,HAT-P-11,,7623047221439091396
K2-3 d,K2-3,44.5631,-3829546001743292015
Kepler-449 c,Kepler-449,33.67280658,-6484138977084564858
Kepler-1489 b,Kepler-1489,82.294751,4409110116888576075
Kepler-265 b,Kepler-265,6.84619236,-7101581851697688767
Kepler-684 b,Kepler-684,,-8185450179943386234
Kepler-1557 b,Kepler-1557,3.74031708,8290848530357449488
Kepler-370 c,Kepler-370,19.023152,391516941408031688
Kepler-603 d,Kepler-603,6.2172092466,-529208842957102125
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,,5354078767754052988
Kepler-1342 b,Kepler-1342,2.215710358,2805418553786228829
Kepler-343 b,Kepler-343,8.96848108,-6749925979638140260
Kepler-281 c,Kepler-281,36.33767,-9155817548234560086
Kepler-393 b,Kepler-393,9.18247194,-5949266114492157170
Kepler-84 b,Kepler-84,8.72585936,-2933516483665008845
Kepler-394 d,Kepler-394,5.61357629,-5740032335163237315
Kepler-32 d,Kepler-32,22.780782,-1558274491067351265
Kepler-237 b,Kepler-237,4.71510365,-6600473624626788673
Kepler-1608 b,Kepler-1608,16.473474,-3117393997133802999
Kepler-52 d,Kepler-52,36.445171,-8244863208140413528
Kepler-635 b,Kepler-635,23.44970494,3156112055780439681
Kepler-321 c,Kepler-321,13.093921,-3814241227164231494
HD 185269 b,HD 185269,6.8399,2568699636801848162
Kepler-780 b,Kepler-780,0.677375164,2370982932967170910
