obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,framework_id,frame_hash
3665,archived,SGR A*,266.41667,-29.00778,52428.0580208333,ACIS-I,NONE,91120.0,GO,Baganoff,52796,6607,7472366398816248827,-6830256802794813878
2951,archived,SGR A*,266.41667,-29.00778,52324.601712963,ACIS-I,NONE,12530.0,GTO,Garmire,52692,6608,7369823319525226404,8283597012621215337
2952,archived,SGR A*,266.41667,-29.00778,52356.5166666667,ACIS-I,NONE,12020.0,GTO,Garmire,52727,6609,-5485155105599217863,1524479774653010989
2953,archived,SGR A*,266.41667,-29.00778,52383.4573958333,ACIS-I,NONE,11940.0,GTO,Garmire,52754,6610,-5347766383371790607,7519809487188921505
2954,archived,SGR A*,266.41667,-29.00778,52401.3917013889,ACIS-I,NONE,12620.0,GTO,Garmire,52772,6611,3874792994608346678,-5838529150790641695
3549,archived,SGR A*,266.41667,-29.00778,52809.7693402778,ACIS-I,NONE,25120.0,GTO,Garmire,53179,6612,3475814770495497835,3813949005336038350
4683,archived,Sgr A*,266.41667,-29.00778,53191.9389699074,ACIS-I,NONE,50180.0,GTO,Garmire,53564,6613,3855957791510847828,-8056846934661105107
4684,archived,Sgr A*,266.41667,-29.00778,53192.9367361111,ACIS-I,NONE,50180.0,GTO,Garmire,53566,6614,6987063521125832968,8464799888098446513
5360,archived,CXOGC J174540.0-290030,266.41667,-29.00778,53245.502025463,ACIS-I,NONE,5170.0,DDT,Baganoff,53247,6615,3767516471298797054,8106192570662529878
5950,archived,Sgr A*,266.41667,-29.00778,53575.8315277778,ACIS-I,NONE,49390.0,GO,Baganoff,53942,6616,5254105512626855693,6480204749128568289
5951,archived,Sgr A*,266.41667,-29.00778,53578.7966782407,ACIS-I,NONE,46410.0,GO,Baganoff,53947,6617,6594583731429573822,-6857518359080058254
5952,archived,Sgr A*,266.41667,-29.00778,53580.8264699074,ACIS-I,NONE,46290.0,GO,Baganoff,53948,6618,-1637271819676811280,3684907708984530419
5953,archived,Sgr A*,266.41667,-29.00778,53581.8176736111,ACIS-I,NONE,45960.0,GO,Baganoff,53948,6619,-9133661843302099663,5723221764017247725
5954,archived,Sgr A*,266.41667,-29.00778,53583.8437615741,ACIS-I,NONE,18310.0,GO,Baganoff,54300,6620,1371418763117939474,-72270840252580153
6113,archived,Sgr A*,266.41667,-29.00778,53428.2673726852,ACIS-I,NONE,4920.0,GO,Baganoff,53794,6621,4277975969782051320,-1704002169552197813
6363,archived,Sgr A*,266.41667,-29.00778,53933.1648611111,ACIS-I,NONE,30150.0,GO,Baganoff,54300,6622,3222666654028412217,5575757149291813473
6639,archived,Sgr A*,266.41667,-29.00778,53836.2307291667,ACIS-I,NONE,4550.0,GO,Baganoff,54202,6623,-9085422939454977659,4134755827545111460
6640,archived,Sgr A*,266.41667,-29.00778,53858.9342824074,ACIS-I,NONE,5160.0,GO,Baganoff,54225,6624,-3590922892712520931,-2438806867843831643
6641,archived,Sgr A*,266.41667,-29.00778,53887.6713773148,ACIS-I,NONE,5130.0,GO,Baganoff,54255,6625,-3745285908053612160,6096140048595597330
6642,archived,Sgr A*,266.41667,-29.00778,53920.4586805556,ACIS-I,NONE,5170.0,GO,Baganoff,54286,6626,8508567771703184121,-6132487817395059276
6643,archived,Sgr A*,266.41667,-29.00778,53946.6037152778,ACIS-I,NONE,5050.0,GO,Baganoff,54312,6627,831361808408273585,3128955382503836336
6644,archived,Sgr A*,266.41667,-29.00778,53969.2454861111,ACIS-I,NONE,5050.0,GO,Baganoff,54335,6628,8342293515601211899,-6265917620943251042
6645,archived,Sgr A*,266.41667,-29.00778,54003.5760416667,ACIS-I,NONE,5180.0,GO,Baganoff,54369,6629,8828546198484848045,5010194772941245146
6646,archived,Sgr A*,266.41667,-29.00778,54037.1439351852,ACIS-I,NONE,5160.0,GO,Baganoff,54402,6630,-5261745797665595187,-8789990224948086847
7554,archived,Sgr A*,266.41667,-29.00778,54142.2609953704,ACIS-I,NONE,5150.0,GO,Baganoff,54508,6631,-5517066202208462805,-1462629671710708579
7555,archived,Sgr A*,266.41667,-29.00778,54184.9548958333,ACIS-I,NONE,5150.0,GO,Baganoff,54551,6632,4548925158930415387,8489465471464494618
7556,archived,Sgr A*,266.41667,-29.00778,54237.0444328704,ACIS-I,NONE,5040.0,GO,Baganoff,54604,6633,4131610566461753116,1030295274925706230
7557,archived,Sgr A*,266.41667,-29.00778,54301.1013541667,ACIS-I,NONE,5050.0,GO,Baganoff,54667,6634,-706466828703371860,-3724231515438722372
