obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
15042,archived,Sgr A,266.41667,-29.00775,56515.9561574074,ACIS-S,NONE,49420.0,GO,Haggard,56548,6642
15043,archived,Sgr A,266.41667,-29.00775,56549.0026157407,ACIS-S,NONE,50070.0,GO,Haggard,56580,6643
15044,archived,Sgr A,266.41667,-29.00775,56569.7247800926,ACIS-S,NONE,47070.0,GO,Haggard,56603,6644
15045,archived,Sgr A,266.41667,-29.00775,56593.6042476852,ACIS-S,NONE,50070.0,GO,Haggard,56625,6645
16508,archived,Sgr A,266.41667,-29.00775,56709.4838078704,ACIS-S,NONE,47870.0,GO,Haggard,56739,6646
6190,archived,Galactic Center Survey,266.41667,-29.00306,53526.1473958333,HRC-I,NONE,5190.0,GO,Wijnands,53892,6665
6191,archived,Galactic Center Survey,266.41667,-29.00306,53663.7631712963,HRC-I,NONE,4380.0,GO,Wijnands,54029,6666
8532,archived,Galactic Center Survey,266.41667,-29.00306,54305.4806365741,HRC-I,NONE,5180.0,GO,Wijnands,54672,6667
9036,archived,Galactic Center Survey,266.41667,-29.00306,54662.9430555556,HRC-I,NONE,5180.0,GO,Wijnands,55029,6668
9073,archived,Galactic Center Survey,266.41667,-29.00306,54596.9870717593,HRC-I,NONE,5180.0,GO,Wijnands,54963,6669
12451,archived,Swift J174535.5-285921,266.39792,-28.98931,55763.2738888889,ACIS-I,NONE,1050.0,TOO,Chakrabarty,56130,6678
12949,archived,Sgr A complex,266.49875,-28.97108,55763.3025115741,ACIS-I,NONE,59250.0,GO,Terrier,56140,6681
13438,archived,Sgr A complex,266.49875,-28.97108,55771.231400463,ACIS-I,NONE,67060.0,GO,Terrier,56140,6682
13508,archived,Sgr A complex,266.49875,-28.97108,55761.0577777778,ACIS-I,NONE,31900.0,GO,Terrier,56140,6683
2284,archived,Galactic Center Survey,266.405,-28.9362,52108.6005092593,ACIS-I,NONE,10760.0,GO,Wang,52115,6701
