WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00013-7012,BAU   1,AC,1919,2015,357,353,31.0,32.6,10.35,13.5,,NUW,,00 01 17.42,-70 11 11.5,00 01 17.42,-70 11 11.5
00014+6347,TDS1249,,2016,2016,356,356,3.4,3.4,10.3,15.9,+62 2347,,,00 01 23.28,+63 47 06.1,00 01 23.28,+63 47 06.1
00014+5704,TDS   1,,1991,2015,312,319,0.8,0.9,10.89,11.14,+56 3132,,,00 01 25.29,+57 03 54.3,00 01 25.29,+57 03 54.3
00014+4828,GII 112,"Aa,Ab",2014,2014,112,112,0.1,0.1,11.4,11.4,,,,00 01 21.18,+48 28 23.7,00 01 21.18,+48 28 23.7
00014+4828,COU1850,AB,1979,2017,24,4,0.6,0.7,10.62,10.7,+47 4359,,,00 01 21.18,+48 28 23.7,00 01 21.18,+48 28 23.7
00014+4758,TDS1250,,1991,2019,290,289,1.0,1.1,11.72,12.67,,,,00 01 22.89,+47 57 54.9,00 01 22.89,+47 57 54.9
00014+3937,HLD  60,,1881,2023,124,164,0.6,1.3,9.09,9.77,+38 5112,NO,,00 01 23.67,+39 36 38.2,00 01 23.67,+39 36 38.2
00014+2719,LDS5156,,1950,2020,301,301,10.2,10.2,16.8,17.3,,,,00 01 27.47,+27 19 54.9,00 01 27.47,+27 19 54.9
00014-0920,TDS1251,,1991,1991,106,106,0.8,0.8,12.12,12.12,,X,,00 01 25.33,-09 20 08.2,00 01 25.33,-09 20 08.2
00014-2602,UC  305,,1954,2015,190,198,39.1,39.6,14.9,16.4,,V U,,00 01 25.52,-26 02 13.7,00 01 25.52,-26 02 13.7
00015+4617,ES 1292,,1913,2016,87,88,3.1,3.4,12.14,12.04,,,,00 01 44.82,+46 17 09.8,00 01 44.82,+46 17 09.8
00015+3044,HO  208,,1884,2017,236,185,0.7,1.1,8.2,9.81,+29 5046,O,,00 01 29.19,+30 44 08.7,00 01 29.19,+30 44 08.7
00015-6203,B   628,,1927,2016,207,207,2.8,3.0,10.01,14.0,-62 6464,,,00 01 29.24,-62 02 44.8,00 01 29.24,-62 02 44.8
