PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
133642,00 00 13.2,-26 43 51,G,E,1.15,0.53,94.0,
483477,00 00 13.3,-48 48 35,G,,0.34,0.04,,
133589,00 00 13.3,-23 45 47,G,E,0.77,0.22,134.0,
13,00 00 13.3,+33 08 03,G,,0.75,0.1,95.0,CGCG499-29            CGCG498-57
1982208,00 00 13.3,+32 08 21,G,,0.39,0.09,178.0,
198767,00 00 13.4,-29 05 24,G,,0.66,0.24,32.0,DUKST409-38
1124109,00 00 13.5,-01 12 49,G,,0.54,0.31,139.0,
1663882,00 00 13.5,+22 07 07,G,,0.47,0.08,44.0,
479679,00 00 13.5,-49 10 33,G,,0.51,0.18,146.0,
1971084,00 00 13.6,+31 55 04,G,,0.42,0.12,141.0,
755636,00 00 13.6,-27 23 32,G,,0.36,0.02,,
649296,00 00 13.7,-35 24 27,G,,0.55,0.23,52.0,
682523,00 00 13.7,-33 00 20,G,,0.38,0.15,178.0,
840854,00 00 13.7,-20 30 10,G,,0.36,0.12,8.0,
762389,00 00 13.7,-26 54 27,G,,0.33,0.06,148.0,
107766,00 00 13.7,-44 47 38,G,,,,,LCRSB235739.6-450420
2282521,00 00 13.8,+46 30 53,G,,0.46,0.06,139.0,
133624,00 00 13.8,-25 11 11,M,,0.91,0.37,115.0,
1171756,00 00 13.9,+00 39 12,G,,0.44,0.24,64.0,
502382,00 00 13.9,-47 22 32,G,,0.39,0.12,26.0,
2402696,00 00 13.9,+51 55 08,G,,0.69,0.23,57.0,NPM1G+51.0391
1268546,00 00 14.0,+04 27 44,G,,0.61,0.21,59.0,
733689,00 00 14.1,-29 04 36,G,,0.43,0.13,143.0,
95112,00 00 14.1,-47 07 36,G,Sab,0.64,0.46,100.0,
238518,00 00 14.1,-76 52 25,G,,0.8,0.57,100.0,
166785,00 00 14.1,+70 02 00,G,Sc,0.8,0.64,119.0,IRAS23576+6945
198088,00 00 14.2,-26 43 51,G,,0.85,0.17,71.0,DUKST537-6
198096,00 00 14.3,-25 14 43,G,,0.7,0.03,,DUKST537-31
650709,00 00 14.3,-35 17 49,G,,0.34,0.11,121.0,
2048278,00 00 14.4,+34 22 53,G,,0.59,0.29,95.0,
925801,00 00 14.4,-14 20 34,G,,0.47,0.04,,
1340887,00 00 14.5,+08 10 38,G,,0.65,0.01,,
915872,00 00 14.6,-15 05 25,G,,0.4,0.13,79.0,
1827236,00 00 14.6,+28 08 00,G,,0.47,0.17,167.0,
766007,00 00 14.6,-26 36 30,G,,0.67,0.5,4.0,
756302,00 00 14.6,-27 20 58,G,,0.76,0.53,134.0,
1727704,00 00 14.7,+25 10 25,G,,0.42,0.12,80.0,
780777,00 00 14.7,-25 16 29,G,,0.36,0.08,168.0,
1172415,00 00 14.7,+00 40 28,G,,0.41,0.07,11.0,
24,00 00 14.8,+32 49 55,G,,0.71,0.06,136.0,IC5371                CGCG499-30            CGCG498-58            !KAZ234
607516,00 00 14.9,-38 34 22,G,,0.35,0.13,44.0,
504286,00 00 14.9,-47 15 12,G,,0.52,0.43,98.0,
579816,00 00 14.9,-41 01 43,G,,0.43,0.26,155.0,
394523,00 00 15.0,-57 03 10,G,,0.75,0.3,15.0,
265852,00 00 15.2,-72 02 51,G,,0.44,0.16,55.0,
890148,00 00 15.2,-17 00 48,G,,0.68,0.07,63.0,NPM1G-17.0526
778443,00 00 15.3,-25 29 02,G,,0.5,0.22,35.0,
767985,00 00 15.4,-26 25 26,G,,0.76,0.71,84.0,
894165,00 00 15.4,-16 44 37,G,,0.38,0.1,106.0,
741436,00 00 15.5,-28 27 28,G,,0.58,0.47,66.0,
810229,00 00 15.5,-22 41 45,G,,0.44,0.28,70.0,
547635,00 00 15.5,-43 31 58,G,,0.37,0.13,120.0,
1004569,00 00 15.6,-08 22 14,G,,0.39,0.24,47.0,
1963458,00 00 15.7,+31 46 07,G,,0.38,0.14,58.0,
1986415,00 00 15.7,+32 13 09,G,,0.44,0.19,178.0,
278651,00 00 15.7,-69 31 34,G,,0.54,0.27,35.0,
3080166,00 00 15.7,-08 53 28,G,,0.72,0.34,54.0,
19,00 00 15.7,-72 11 10,GM,,0.62,0.36,176.0,(ESO50-5)             ESO-LV500050
518922,00 00 15.8,-46 06 21,G,,0.4,0.17,112.0,
230557,00 00 15.8,-79 19 09,G,,0.75,0.49,81.0,
660740,00 00 15.8,-34 33 05,G,,0.45,0.14,62.0,
775588,00 00 15.9,-25 44 21,G,,0.45,0.11,103.0,
781846,00 00 15.9,-25 10 37,G,,0.45,0.29,21.0,
1034808,00 00 15.9,-06 16 16,G,,0.62,0.28,116.0,
1526695,00 00 15.9,+17 11 12,G,,0.37,0.12,84.0,
1657244,00 00 16.0,+21 47 10,G,,0.32,0.05,42.0,
1120764,00 00 16.0,-01 21 07,G,,0.44,0.11,6.0,
1990073,00 00 16.0,+32 17 36,G,,0.62,0.11,77.0,
395075,00 00 16.2,-56 59 49,G,,0.33,0.03,,
506542,00 00 16.2,-47 06 13,G,,0.45,0.1,113.0,
967889,00 00 16.2,-11 16 10,G,,0.58,0.06,29.0,
2801010,00 00 16.2,+32 47 33,G,,,,,NPM1G+32.0621
1965457,00 00 16.3,+31 48 25,G,,0.38,0.13,100.0,
648244,00 00 16.3,-35 29 37,G,,0.56,0.27,127.0,
328586,00 00 16.3,-63 50 58,G,,0.49,0.24,39.0,
590308,00 00 16.3,-40 05 27,G,,0.43,0.22,162.0,
143119,00 00 16.4,-61 14 03,G,,,,,
661574,00 00 16.4,-34 29 15,G,,0.38,0.2,174.0,
73201,00 00 16.6,+14 43 58,G,,0.48,0.22,33.0,KUG2357+14421
1084282,00 00 16.6,-02 43 50,G,,0.47,0.21,76.0,
304957,00 00 16.6,-66 24 42,G,,0.4,0.23,116.0,
143120,00 00 16.7,-66 24 31,G,,0.7,0.28,6.0,
480675,00 00 16.7,-49 04 46,G,,0.31,0.07,123.0,
949103,00 00 16.7,-12 41 17,G,,0.73,0.47,13.0,
21,00 00 16.8,-02 38 23,G,,0.5,0.2,36.0,VIIIZw494
662320,00 00 16.9,-34 26 20,G,,0.56,0.28,18.0,
2057778,00 00 17.0,+34 59 47,G,,0.72,0.06,17.0,
1301251,00 00 17.0,+06 28 06,G,,0.6,0.08,105.0,
73202,00 00 17.1,+25 42 38,G,Sc,0.76,0.44,172.0,KUG2357+254
374455,00 00 17.2,-59 02 03,G,,0.6,0.14,101.0,
1014414,00 00 17.2,-07 42 13,G,,0.52,0.09,7.0,
1980187,00 00 17.2,+32 05 59,G,,0.37,0.09,54.0,
