pl_name,hostname,pl_orbper,framework_id
Kepler-705 b,Kepler-705,56.05623,-9038620322074116480
Kepler-1146 b,Kepler-1146,2.352273912,-1464987047390047228
Kepler-361 b,Kepler-361,0.0,-6822004709428557149
XO-5 b,XO-5,4.18775631,-3134218553255989547
HD 136352 b,HD 136352,11.577794,5700440020115548065
TOI-2095 c,TOI-2095,28.17225006579,-5128109066648771005
TOI-1386 b,TOI-1386,25.8401,5269728711395073997
Kepler-223 d,Kepler-223,14.78767172,2374622889373819646
Kepler-371 b,Kepler-371,34.763278,-5362626797698607950
Kepler-462 b,Kepler-462,84.69,-3263061751974894074
Kepler-142 c,Kepler-142,4.7617051257,-7645187270502117393
Kepler-1173 b,Kepler-1173,0.0,-8185836477559005272
Kepler-758 d,Kepler-758,20.4971697,-7148175457438462370
Kepler-257 c,Kepler-257,6.581477136,-7952703981762501336
Kepler-178 c,Kepler-178,20.55280311,-2461744675147581154
Kepler-1870 b,Kepler-1870,3.60694592,6689331526140552463
Kepler-1569 b,Kepler-1569,5.79180156,-7994001611851919907
Kepler-400 b,Kepler-400,9.02436094,-6092661481762637475
Kepler-787 b,Kepler-787,0.928310498,-5225511694233048609
Kepler-1136 b,Kepler-1136,2.361718,-1390508783004750618
HD 154391 b,HD 154391,5163.0,-8933338660206340984
Kepler-340 c,Kepler-340,22.824669,6760970097040053346
Kepler-1030 b,Kepler-1030,19.32952416,6026910678571843445
Kepler-1609 b,Kepler-1609,114.34219,6590815958019617754
Kepler-229 c,Kepler-229,16.068638,-7516055442345255841
Kepler-33 c,Kepler-33,13.17562,5446329975723666059
Kepler-1266 b,Kepler-1266,28.474748,2047905370337492173
Kepler-1118 b,Kepler-1118,38.6715843,-6661253561136550010
Kepler-1254 b,Kepler-1254,9.99113313,-2100002957988550510
51 Peg b,51 Peg,4.2307969,-9173652729045719810
Kepler-1771 b,Kepler-1771,88.6440015,-560152796783533821
Kepler-1820 b,Kepler-1820,31.032699,-302657590044863488
Kepler-1637 b,Kepler-1637,6.10960324,-6416962719354009466
Kepler-1397 b,Kepler-1397,47.4497134,-4784978206491751496
Kepler-1948 b,Kepler-1948,15.5714121,8799519936950352252
Kepler-879 b,Kepler-879,33.3855938,7586430909662278803
Kepler-815 b,Kepler-815,0.0,-8776392929239328550
Kepler-161 b,Kepler-161,4.9213639,4802996082349425575
Kepler-484 b,Kepler-484,10.0455669168,-3288092040176202491
Kepler-1389 b,Kepler-1389,99.2530951,-8834060020777830743
HD 92788 b,HD 92788,326.7,917954777405946855
Kepler-130 d,Kepler-130,87.5174361,-8528151308301726533
Kepler-1463 b,Kepler-1463,25.15864,6238498409361539853
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,0.0,7212316855136652649
Kepler-1563 b,Kepler-1563,3.4327371,3995377772310138394
Kepler-778 b,Kepler-778,3.75574426,6576363111310722043
Kepler-377 b,Kepler-377,12.50948,-7744432706586244099
Kepler-475 b,Kepler-475,3.105508189,4334812915149167622
HAT-P-37 b,HAT-P-37,2.79744256,-6440179256073401982
K2-185 b,K2-185,10.616646,-5569270970939589847
HATS-71 b,HATS-71,3.79551778381,276236292554805316
Kepler-487 c,Kepler-487,38.6519976,-3300643982828689201
Kepler-1032 b,Kepler-1032,3.290114076,-1044472512276025950
Kepler-327 d,Kepler-327,13.9695295096,-6794684614125276513
HD 75289 b,HD 75289,3.50927,2158487045388298464
Kepler-323 c,Kepler-323,3.553829671,2244107930557360649
Kepler-1352 b,Kepler-1352,1.877872,2802840853516106208
Kepler-515 b,Kepler-515,19.96371318,6072099271236479034
Kepler-357 c,Kepler-357,16.85837,3969299779841631183
Kepler-1178 b,Kepler-1178,31.80634,-878142143480688709
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0.0,-6173041077756345909
Kepler-1795 b,Kepler-1795,13.3602644,5019536599157566332
Kepler-325 c,Kepler-325,12.76224947,4663226937757336155
Kepler-775 b,Kepler-775,0.974868926,2207185009774107603
EPIC 212424622 b,EPIC 212424622,18.0983,1573204757996637927
Kepler-341 c,Kepler-341,8.01041,-7659793344579093178
Kepler-67 b,Kepler-67,15.72585941,6835018066556325436
K2-53 b,K2-53,12.2091165,-5985217651335735070
Kepler-106 e,Kepler-106,43.8444958789,6889315415443550979
GJ 1061 d,GJ 1061,13.031,-4045112421982295345
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,0.0,6871155205040849465
BD-13 2130 b,BD-13 2130,714.29999,198191813221058199
eps CrB b,eps CrB,417.9,-939909083223830112
Kepler-1202 b,Kepler-1202,28.6851324,-4193741438641428730
Kepler-997 b,Kepler-997,2.7072805276,3040552472674437947
Kepler-84 e,Kepler-84,27.4345883,-1073184596838280138
Kepler-29 c,Kepler-29,13.2884,-4834094146393953101
Kepler-1407 b,Kepler-1407,20.0711504,-4217441342757395121
Kepler-924 b,Kepler-924,61.0370400526,-4115176609995234427
HAT-P-11 b,HAT-P-11,0.0,-639314547768697310
K2-3 d,K2-3,44.5631,8374536514162283244
Kepler-449 c,Kepler-449,33.67280658,-6189076035558153759
Kepler-1489 b,Kepler-1489,82.294751,2490417431717591820
Kepler-265 b,Kepler-265,6.84619236,2222386502941042542
Kepler-684 b,Kepler-684,0.0,1185412643299452554
Kepler-1557 b,Kepler-1557,3.74031708,7878084708180273159
Kepler-370 c,Kepler-370,19.023152,-6991715328844168880
Kepler-603 d,Kepler-603,6.2172092466,-7676630701243724880
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0.0,7119670140576230993
Kepler-1342 b,Kepler-1342,2.215710358,-8472591398023909080
Kepler-343 b,Kepler-343,8.96848108,6133105122455839492
Kepler-281 c,Kepler-281,36.33767,-2180776939599012022
Kepler-393 b,Kepler-393,9.18247194,-1119873241609857683
Kepler-84 b,Kepler-84,8.72585936,588917291305594326
Kepler-394 d,Kepler-394,5.61357629,9099638103715945460
Kepler-32 d,Kepler-32,22.780782,-3326821143419672264
Kepler-237 b,Kepler-237,4.71510365,-7584992189627420783
Kepler-1608 b,Kepler-1608,16.473474,-5957604137715101254
Kepler-52 d,Kepler-52,36.445171,5218586603272344139
Kepler-635 b,Kepler-635,23.44970494,5325801085423432928
Kepler-321 c,Kepler-321,13.093921,-5161207131979408825
HD 185269 b,HD 185269,6.8399,8470340143469384947
Kepler-780 b,Kepler-780,0.677375164,2859637459676161079
