LID,m_LID,U-B20,B-V20,V-r20,n_Nobs,Nobs,Vmag,ref
6.0011597,,-0.19,0.49,0.5,,2,,9001
6.00116531,,-0.17,0.47,0.51,,1,,9001
6.00116957,,-0.12,0.67,0.53,,3,12.73,9008
6.00118455,,-0.73,0.09,-0.05,,4,13.29,9008
6.10010035,,,,0.33,,1,,9010
6.10010742,,-0.84,0.06,0.08,,6,13.24,9008
6.10010794,,-0.86,-0.08,-0.16,,5,11.53,9008
6.10029464,,,,0.14,,3,,9010
6.10029653,1,-0.82,0.05,0.0,,5,12.21,9008
6.10029743,,-0.68,0.07,-0.05,,5,12.87,9008
6.10029838,2,-0.59,0.2,-0.04,,1,12.84,9008
6.1006014,,-0.89,-0.05,0.0,,1,12.6,9008
6.10060177,,-0.19,0.47,0.39,,6,12.53,9008
6.10060213,,-0.19,0.51,0.42,,5,12.77,9008
6.10060219,,-0.66,0.08,-0.16,,6,12.94,9008
6.10060222,,-0.88,0.03,-0.03,,2,13.55,9008
6.10060242,,-0.06,0.42,0.4,,2,10.34,9008
6.10060245,,-0.88,0.0,0.21,,5,13.58,9008
6.10060274,,-0.8,0.12,0.27,,4,12.13,9008
6.10060279,,-0.63,0.06,-0.07,,4,12.44,9008
6.10060318,,-0.17,0.42,0.44,,4,12.57,9008
6.10060319,,-0.96,0.06,0.25,,8,12.31,9008
6.10060324,,-0.12,0.56,0.53,,2,12.94,9008
6.10060334,,-0.22,0.54,0.5,,3,14.22,9008
6.1006035,,-0.17,0.54,0.51,,4,12.66,9008
6.10060361,,-0.19,0.54,0.46,,6,12.89,9008
6.10060367,,-0.13,0.53,0.51,,4,12.38,9008
6.10060373,,-0.1,0.56,0.45,,3,13.68,9008
6.10060391,,-0.98,-0.15,-0.13,,6,13.37,9008
6.10060394,,-0.17,-0.26,-0.18,,5,13.06,9008
6.10060403,,0.01,0.65,0.56,,4,13.28,9008
6.10060408,,-0.93,-0.04,-0.03,,3,14.23,9008
6.10060412,,0.12,0.68,0.53,,4,10.87,9008
6.10060413,,-0.08,0.56,0.49,,2,12.0,9008
6.10060414,,0.77,0.99,0.75,,2,12.89,9008
6.10060415,,0.01,0.69,0.64,,4,12.68,9008
6.10060421,,-1.11,-0.22,-0.13,,2,14.37,9008
6.10060423,,0.19,0.68,0.54,,2,9.88,9008
6.10060485,,-0.18,0.46,0.41,,4,13.4,9008
6.10060498,,-0.26,0.47,0.43,,4,13.76,9008
6.10060519,,-0.21,0.49,0.46,,8,13.45,9008
6.10060538,,-0.17,0.48,0.51,,4,11.94,9008
6.10060541,,0.02,0.75,0.62,,5,13.6,9008
6.1006055,,0.11,0.71,0.59,,2,11.91,9008
6.10060553,,0.34,0.8,0.69,,2,11.9,9008
6.10060558,,0.15,0.74,0.63,,2,12.41,9008
6.10060561,,-1.21,-0.25,-0.29,,4,14.53,9008
9.80093048,,-0.72,0.0,-0.16,,6,12.72,9008
9.80226029,,-0.65,0.19,0.01,,8,12.22,9008
9.8023104,,-0.65,0.06,-0.15,,7,12.33,9008
